2026-04-19T00:00:00.466+03:00  INFO 17048 --- [Tula] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notify-group-3, groupId=notify-group] Node -1 disconnected.
2026-04-19T00:00:00.887+03:00  WARN 17048 --- [Tula] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notify-group-3, groupId=notify-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-04-19T00:00:00.887+03:00  WARN 17048 --- [Tula] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notify-group-3, groupId=notify-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-04-19T00:00:01.510+03:00  INFO 17048 --- [Tula] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notify-group-3, groupId=notify-group] Node -1 disconnected.
2026-04-19T00:00:01.510+03:00  WARN 17048 --- [Tula] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notify-group-3, groupId=notify-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-04-19T00:00:01.510+03:00  WARN 17048 --- [Tula] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notify-group-3, groupId=notify-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-04-19T00:00:02.431+03:00  INFO 17048 --- [Tula] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notify-group-3, groupId=notify-group] Node -1 disconnected.
2026-04-19T00:00:02.433+03:00  WARN 17048 --- [Tula] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notify-group-3, groupId=notify-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2026-04-19T00:00:02.433+03:00  WARN 17048 --- [Tula] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notify-group-3, groupId=notify-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-04-19T00:00:03.383+03:00  INFO 17048 --- [Tula] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notify-group-3, groupId=notify-group] Node -1 disconnected.
2026-04-19T00:00:03.383+03:00  WARN 17048 --- [Tula] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notify-group-3, groupId=notify-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
